access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,7443.2714,476410.9747,0.0086,131072.0000,16.0000,0.0530,70.4317,35.0034,70.4378,128,0
read,8008.8415,512590.6734,0.0080,131072.0000,16.0000,0.0398,65.4605,32.5710,65.4636,128,0
write,7492.2148,479629.6188,0.0084,131072.0000,16.0000,0.0483,69.9590,34.7350,69.9777,128,1
read,8004.0779,512285.1340,0.0079,131072.0000,16.0000,0.0395,65.4995,32.4495,65.5026,128,1
write,7493.6942,479618.5547,0.0084,131072.0000,16.0000,0.0317,69.9607,34.8013,69.9639,128,2
read,8001.5644,512123.9983,0.0079,131072.0000,16.0000,0.0376,65.5201,32.4930,65.5232,128,2
write,7486.8031,479176.5454,0.0083,131072.0000,16.0000,0.0329,70.0252,34.8790,70.0283,128,3
read,8000.7086,512068.1333,0.0077,131072.0000,16.0000,0.0406,65.5273,32.5126,65.5302,128,3
write,7484.5229,479102.3523,0.0084,131072.0000,16.0000,0.0479,70.0360,34.8096,70.0496,128,4
read,7990.8405,511437.1338,0.0079,131072.0000,16.0000,0.0359,65.6081,32.5292,65.6111,128,4
